Train set size:  403
Val set size:  58
Train image size:  torch.Size([1, 160, 192, 224])
Val image size:  torch.Size([1, 160, 192, 224])
Training Starts
Iter 37 of 403 loss -0.0965, Img Sim: -0.104288, Reg: 0.007765, Jac: 0.000000, Dice: 0.000000
Iter 37 of 403 loss -0.0819, Img Sim: -0.090129, Reg: 0.008268, Jac: 0.000000, Dice: 0.000000
Iter 38 of 403 loss -0.1146, Img Sim: -0.120897, Reg: 0.006262, Jac: 0.000000, Dice: 0.000000
Iter 38 of 403 loss -0.1026, Img Sim: -0.109050, Reg: 0.006481, Jac: 0.000000, Dice: 0.000000
Iter 39 of 403 loss -0.0982, Img Sim: -0.104064, Reg: 0.005818, Jac: 0.000000, Dice: 0.000000
Iter 39 of 403 loss -0.1026, Img Sim: -0.108442, Reg: 0.005848, Jac: 0.000000, Dice: 0.000000
Iter 40 of 403 loss -0.1149, Img Sim: -0.120693, Reg: 0.005796, Jac: 0.000000, Dice: 0.000000
Iter 40 of 403 loss -0.1012, Img Sim: -0.107803, Reg: 0.006609, Jac: 0.000000, Dice: 0.000000
Iter 41 of 403 loss -0.1112, Img Sim: -0.117674, Reg: 0.006497, Jac: 0.000000, Dice: 0.000000
Iter 41 of 403 loss -0.1025, Img Sim: -0.109706, Reg: 0.007159, Jac: 0.000000, Dice: 0.000000
Iter 42 of 403 loss -0.1221, Img Sim: -0.128208, Reg: 0.006149, Jac: 0.000000, Dice: 0.000000
Iter 42 of 403 loss -0.1073, Img Sim: -0.113816, Reg: 0.006510, Jac: 0.000000, Dice: 0.000000
Iter 43 of 403 loss -0.1191, Img Sim: -0.125527, Reg: 0.006468, Jac: 0.000000, Dice: 0.000000
Iter 43 of 403 loss -0.1092, Img Sim: -0.115607, Reg: 0.006425, Jac: 0.000000, Dice: 0.000000
Iter 44 of 403 loss -0.1139, Img Sim: -0.120192, Reg: 0.006269, Jac: 0.000000, Dice: 0.000000
Iter 44 of 403 loss -0.1072, Img Sim: -0.113471, Reg: 0.006224, Jac: 0.000000, Dice: 0.000000
Iter 45 of 403 loss -0.1093, Img Sim: -0.116461, Reg: 0.007187, Jac: 0.000000, Dice: 0.000000
Iter 45 of 403 loss -0.1061, Img Sim: -0.113388, Reg: 0.007289, Jac: 0.000000, Dice: 0.000000
Iter 46 of 403 loss -0.0890, Img Sim: -0.098686, Reg: 0.009690, Jac: 0.000000, Dice: 0.000000
Iter 46 of 403 loss -0.0996, Img Sim: -0.108284, Reg: 0.008690, Jac: 0.000000, Dice: 0.000000
Iter 47 of 403 loss -0.1258, Img Sim: -0.132312, Reg: 0.006549, Jac: 0.000000, Dice: 0.000000
Iter 47 of 403 loss -0.1138, Img Sim: -0.119679, Reg: 0.005927, Jac: 0.000000, Dice: 0.000000
Iter 48 of 403 loss -0.1156, Img Sim: -0.122264, Reg: 0.006664, Jac: 0.000000, Dice: 0.000000
Iter 48 of 403 loss -0.1084, Img Sim: -0.114716, Reg: 0.006324, Jac: 0.000000, Dice: 0.000000
Iter 49 of 403 loss -0.1082, Img Sim: -0.115781, Reg: 0.007548, Jac: 0.000000, Dice: 0.000000
Iter 49 of 403 loss -0.1004, Img Sim: -0.107101, Reg: 0.006697, Jac: 0.000000, Dice: 0.000000
Iter 50 of 403 loss -0.1139, Img Sim: -0.121156, Reg: 0.007234, Jac: 0.000000, Dice: 0.000000
Iter 50 of 403 loss -0.1107, Img Sim: -0.117242, Reg: 0.006500, Jac: 0.000000, Dice: 0.000000
Iter 51 of 403 loss -0.1162, Img Sim: -0.123705, Reg: 0.007464, Jac: 0.000000, Dice: 0.000000
Iter 51 of 403 loss -0.1066, Img Sim: -0.113106, Reg: 0.006482, Jac: 0.000000, Dice: 0.000000
Iter 52 of 403 loss -0.1105, Img Sim: -0.118272, Reg: 0.007765, Jac: 0.000000, Dice: 0.000000
Iter 52 of 403 loss -0.1040, Img Sim: -0.110745, Reg: 0.006762, Jac: 0.000000, Dice: 0.000000
Iter 53 of 403 loss -0.1231, Img Sim: -0.130808, Reg: 0.007679, Jac: 0.000000, Dice: 0.000000
Iter 53 of 403 loss -0.1119, Img Sim: -0.118529, Reg: 0.006580, Jac: 0.000000, Dice: 0.000000
Iter 54 of 403 loss -0.1192, Img Sim: -0.127017, Reg: 0.007819, Jac: 0.000000, Dice: 0.000000
Iter 54 of 403 loss -0.1130, Img Sim: -0.119803, Reg: 0.006753, Jac: 0.000000, Dice: 0.000000
Iter 55 of 403 loss -0.1145, Img Sim: -0.122100, Reg: 0.007618, Jac: 0.000000, Dice: 0.000000
Iter 55 of 403 loss -0.1064, Img Sim: -0.112707, Reg: 0.006293, Jac: 0.000000, Dice: 0.000000
Iter 56 of 403 loss -0.1160, Img Sim: -0.124072, Reg: 0.008065, Jac: 0.000000, Dice: 0.000000
Iter 56 of 403 loss -0.1042, Img Sim: -0.111359, Reg: 0.007122, Jac: 0.000000, Dice: 0.000000
Iter 57 of 403 loss -0.1151, Img Sim: -0.123026, Reg: 0.007957, Jac: 0.000000, Dice: 0.000000
